Description,,Summary Amt.
Beginning balance as of 01/01/2026,,"0.00"
Total credits,,"1,790,055.98"
Total debits,,"-1,743,274.93"
Ending balance as of 06/24/2026,,"46,781.05"

Date,Description,Amount,Running Bal.
06/04/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:5YJY GAEE9MF172902 ,2021-Tesla-Model Y ,","-2,206.70","27,310.77"
06/05/2026,"Counter Credit","81,052.99","108,363.76"
06/05/2026,"Zelle payment to car wash angel Conf# q5bodw8h3","-130.00","108,233.76"
06/05/2026,"Zelle payment to LOLA GROUP INC Conf# obe02fetn","-1,700.00","106,533.76"
06/05/2026,"Check 1031","-7,520.00","99,013.76"
06/05/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-18,538.30","80,475.46"
06/08/2026,"Counter Credit","70,887.74","151,363.20"
06/08/2026,"Zelle payment to Blue allgator Conf# me77god21","-850.00","150,513.20"
06/08/2026,"Check 1034","-16,043.00","134,470.20"
06/08/2026,"AMERICAN EXPRESS DES:ACH PMT ID:M5452 INDN:SHANGQI LI CO ID:1133133497 CCD","-6,000.00","128,470.20"
06/08/2026,"MANHEIM DES:ACH PAYMNT ID:ACH7402373 INDN:ICAR LIFESTYLE CO ID:1581936030 CCD PMT INFO:","-275.00","128,195.20"
06/09/2026,"BKOFAMERICA MOBILE 06/10 3655133253 DEPOSIT *MOBILE CA","9,100.00","137,295.20"
06/09/2026,"MANHEIM US DES:ACH PAYMNT ID:18894004 INDN:ICAR LIFESTYLE CO ID:1582577037 CCD","700.00","137,995.20"
06/09/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-30,268.92","107,726.28"
06/09/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-27,449.11","80,277.17"
06/09/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-10,961.62","69,315.55"
06/10/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","37,086.06","106,401.61"
06/10/2026,"Check 1037","-4,353.00","102,048.61"
06/11/2026,"Counter Credit","67,600.00","169,648.61"
06/11/2026,"Counter Credit","50,000.00","219,648.61"
06/11/2026,"Zelle payment to car wash angel Conf# j4kr8ay1o","-100.00","219,548.61"
06/11/2026,"Check 1027","-10,170.00","209,378.61"
06/12/2026,"MOBILE COMMERCE DES:ACH Pmt ID:11223187944 INDN:ICAR LIFESTYLE CO ID:9200502235 CCD PMT INFO:Buy fee 43158M4","1,165.00","210,543.61"
06/12/2026,"WIRE TYPE:WIRE OUT DATE:260612 TIME:0542 ET TRN:2026061200210051 SERVICE REF:004263 BNF:LENDBUZZ FUNDING LLC ID:0109729401 BNF BK:BANK HAPOALIM B.M. ID:026008866 PMT DET:TRC3Y4W6J /ACC /unbuy eqsW1KCG2DB8NA016471","-39,799.79","170,743.82"
06/12/2026,"TRANSFER ATTITUDE D LLC DBA I:jingjing zhang Confirmation# 0429356331","-6,500.00","164,243.82"
06/12/2026,"Prfd Rwds for Bus-Wire Fee Waiver of $30","0.00","164,243.82"
06/15/2026,"Zelle payment to OYBEK MUROTOV Conf# n4xo5qhht","-1,500.00","162,743.82"
06/15/2026,"Zelle payment to HENRRY HERNANDEZ for "WHT TESLA"; Conf# joybs251d","-1,400.00","161,343.82"
06/15/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-51,990.29","109,353.53"
06/15/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-29,560.64","79,792.89"
06/15/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-1,756.14","78,036.75"
06/15/2026,"External transfer fee - Next Day - 06/12/2026 Confirmation: 617585428","-5.00","78,031.75"
06/16/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","21,000.00","99,031.75"
06/16/2026,"Zelle payment to Glass for "055758 glass"; Conf# qqzek1cbg","-280.00","98,751.75"
06/16/2026,"Zelle payment to OPEN ROAD LIMITED LLC for "9322 trans"; Conf# r0hcnr72y","-1,212.00","97,539.75"
06/16/2026,"Zelle payment to dories huie for "F47894 BMW430 wheel lock"; Conf# mrxz0awxi","-121.55","97,418.20"
06/16/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-34,619.76","62,798.44"
06/18/2026,"WIRE TYPE:WIRE OUT DATE:260618 TIME:0529 ET TRN:2026061800036003 SERVICE REF:004108 BNF:JTE AUTO GROUP ID:1921691 BNF BK:FIRST GENERAL BANK ID:122244061 PMT DET:TXMDJRCG6","-20,111.33","42,687.11"
06/18/2026,"Check 1040","-3,335.00","39,352.11"
06/18/2026,"Prfd Rwds for Bus-Wire Fee Waiver of $30","0.00","39,352.11"
06/22/2026,"Zelle payment to Attitude D LLC Conf# mu68ba5ix","-2,000.00","37,352.11"
06/23/2026,"Counter Credit","18,800.00","56,152.11"
06/23/2026,"NEXTGEAR FUNDING DES:FUNDING ID:155929 INDN:ICAR LIFESTYLE CO ID:1201990165 CCD","7,100.00","63,252.11"
06/23/2026,"Zelle payment to car wash angel Conf# jxlqzncvt","-45.00","63,207.11"
06/23/2026,"Zelle payment to yul blnyer for "raptor md-NJ"; Conf# m5xyp5nn5","-320.00","62,887.11"
06/23/2026,"Check 1038","-7,100.00","55,787.11"
06/23/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-4,692.64","51,094.47"
06/23/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GAEE4RF986692 ,2024-Tesla-Model Y ,","-2,149.80","48,944.67"
06/23/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-1,869.49","47,075.18"
06/23/2026,"WASTE MANAGEMENT DES:PAYMENT ID:000221937893009 INDN:Cundi Fang CO ID:9580653001 CCD PMT INFO:Log in to the MY WM Account Page for pay ment details.","-294.13","46,781.05"
