Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,11/12/2025,"CA DMV LOS ANGELES BSC COVINA CA     532993  11/12",-740.00,DEBIT_CARD,35981.18,,
DEBIT,11/12/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:111025 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000017377792 EED:251112   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3167377792TC",-34289.77,ACH_DEBIT,36721.18,,
DEBIT,11/12/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:111025 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000017377793 EED:251112   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3167377793TC",-61198.59,ACH_DEBIT,71010.95,,
DEBIT,11/12/2025,"Zelle payment to m2009 JPM99buanq4z",-835.00,CHASE_TO_PARTNERFI,132209.54,,
CREDIT,11/12/2025,"Zelle payment from YIFAN JIN BACspjhtkt8c",1000.00,PARTNERFI_TO_CHASE,133044.54,,
CREDIT,11/12/2025,"Zelle payment from VNN CABINETS LLC BACc0e9lj4ko",1000.00,PARTNERFI_TO_CHASE,132044.54,,
CREDIT,11/12/2025,"ORIG CO NAME:NEXTGEAR FUNDING       ORIG ID:1201990165 DESC DATE:111025 CO ENTRY DESCR:FUNDING   SEC:CCD    TRACE#:091000017376260 EED:251112   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3167376260TC",31862.32,ACH_CREDIT,131044.54,,
CREDIT,11/12/2025,"ORIG CO NAME:NEXTGEAR FUNDING       ORIG ID:1201990165 DESC DATE:111025 CO ENTRY DESCR:FUNDING   SEC:CCD    TRACE#:091000017982861 EED:251112   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3167982861TC",63000.00,ACH_CREDIT,99182.22,,
DSLIP,11/12/2025,"REMOTE ONLINE DEPOSIT #          1",7100.00,CHECK_DEPOSIT,36182.22,1,
CREDIT,11/12/2025,"FEDWIRE CREDIT VIA: GBC INTERNATIONAL BANK/122235902 B/O: JTE GLOBAL TRADING & INVESTMENT AZUSA CA 91702-1580 REF: CHASE NYC/CTR/BNF=ATTITUDE D LLC ARCADIA CA 91007-2839 US/AC-000000009 120 RFB=NOTPROVIDED OBI=/PURP/TRUCK ING FOR MULTIPLE VEHICLE S/URI/TRUC KING FOR MULTIPLE VEHIC LES BBI=/AC C/BENEFICIAR IMAD: 1112MMQFMPST000012 TRN: 1248361316FF",13005.00,WIRE_INCOMING,29082.22,,
DEBIT,11/10/2025,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:9493560001 DESC DATE:251110 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000028517267 EED:251110   IND ID:A8750                        IND NAME:SHANGQI LI                                                                                                   AM TRN: 3148517267TC",-8214.70,ACH_DEBIT,16077.22,,
DEBIT,11/10/2025,"Zelle payment to lock JPM99bu28f4e",-80.00,CHASE_TO_PARTNERFI,24291.92,,
DEBIT,11/10/2025,"Zelle payment to Porsche JPM99bu1lv4r",-500.00,CHASE_TO_PARTNERFI,24371.92,,
DEBIT,11/10/2025,"Zelle payment to suphasith JPM99bu0k08t",-2100.00,CHASE_TO_PARTNERFI,24871.92,,
DEBIT,11/10/2025,"ORIG CO NAME:TSYS/TRANSFIRST        ORIG ID:WFBTRANSF1 DESC DATE:251031 CO ENTRY DESCR:MERCH FEESSEC:CCD    TRACE#:043305134212555 EED:251110   IND ID:543684556033333              IND NAME:ICAR LIFESTYLE TRN: 3144212555TC",-943.94,ACH_DEBIT,26971.92,,
DEBIT,11/10/2025,"Zelle payment to Ovis JPM99btxnknt",-160.00,CHASE_TO_PARTNERFI,27915.86,,
CREDIT,11/10/2025,"ORIG CO NAME:TSYS/TRANSFIRST        ORIG ID:WFBTRANSF1 DESC DATE:251109 CO ENTRY DESCR:CR CD DEP SEC:CCD    TRACE#:043305136817417 EED:251110   IND ID:543684556033333              IND NAME:ICAR LIFESTYLE             5436845560333337ICAR LIFESTYLE            CR CD DEP 111025 TRN: 3146817417TC",3553.50,ACH_CREDIT,28075.86,,
DSLIP,11/10/2025,"REMOTE ONLINE DEPOSIT #          1",5000.00,CHECK_DEPOSIT,24522.36,1,
DEBIT,11/07/2025,"CA DMV LOS ANGELES BSC COVINA CA     517665  11/07",-657.00,DEBIT_CARD,19522.36,,
DEBIT,11/07/2025,"Zelle payment to egtransport JPM99btvs5w8",-80.00,CHASE_TO_PARTNERFI,20179.36,,
DEBIT,11/07/2025,"Zelle payment to Chris 26881718239",-300.00,QUICKPAY_DEBIT,20259.36,,
DEBIT,11/07/2025,"Zelle payment to angel JPM99btsfy94",-130.00,CHASE_TO_PARTNERFI,20559.36,,
DEBIT,11/07/2025,"Zelle payment to angel JPM99btsgk4z",-130.00,CHASE_TO_PARTNERFI,20689.36,,
DSLIP,11/07/2025,"REMOTE ONLINE DEPOSIT #          1",1500.00,CHECK_DEPOSIT,20819.36,1,
DSLIP,11/07/2025,"REMOTE ONLINE DEPOSIT #          1",1500.00,CHECK_DEPOSIT,19319.36,1,
DSLIP,11/07/2025,"REMOTE ONLINE DEPOSIT #          1",1500.00,CHECK_DEPOSIT,17819.36,1,
DEBIT,11/06/2025,"Zelle payment to ch JPM99btrm5xu",-1801.00,CHASE_TO_PARTNERFI,16319.36,,
DEBIT,11/06/2025,"Zelle payment to Ji hvk JPM99btrk0ss",-880.00,CHASE_TO_PARTNERFI,18120.36,,
DEBIT,11/06/2025,"Zelle payment to fuhu JPM99btq52h7",-260.00,CHASE_TO_PARTNERFI,19000.36,,
DEBIT,11/06/2025,"Zelle payment to Ovis JPM99btpypoo",-150.00,CHASE_TO_PARTNERFI,19260.36,,
DEBIT,11/06/2025,"Zelle payment to rainer JPM99btpr5vu",-950.00,CHASE_TO_PARTNERFI,19410.36,,
DEBIT,11/06/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:110525 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232106078834 EED:251106   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :5TDYZ3DC1LS038689 ,2020-TOYOTA-SIE ENNA FWD  DYNAMIC EFT TRN: 3106078834TC",-31690.32,ACH_DEBIT,20360.36,,
DEBIT,11/06/2025,"ORIG CO NAME:CARFAX                 ORIG ID:1251465303 DESC DATE:110525 CO ENTRY DESCR:BT1105    SEC:CCD    TRACE#:111000025261673 EED:251106   IND ID:000000339798087              IND NAME:Attitude D llc                                                                                               CARFAX TRN: 3105261673TC",-1248.00,ACH_DEBIT,52050.68,,
DEBIT,11/06/2025,"Zelle payment to hayk JPM99btoa8bo",-120.00,CHASE_TO_PARTNERFI,53298.68,,
CREDIT,11/06/2025,"ORIG CO NAME:NEXTGEAR FUNDING       ORIG ID:1201990165 DESC DATE:110525 CO ENTRY DESCR:FUNDING   SEC:CCD    TRACE#:091000014681269 EED:251106   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3104681269TC",9102.64,ACH_CREDIT,53418.68,,
CREDIT,11/06/2025,"ORIG CO NAME:NEXTGEAR FUNDING       ORIG ID:1201990165 DESC DATE:110525 CO ENTRY DESCR:FUNDING   SEC:CCD    TRACE#:091000014392519 EED:251106   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3104392519TC",27500.00,ACH_CREDIT,44316.04,,
DEBIT,11/05/2025,"SERVICE CHARGES FOR THE MONTH OF OCTOBER",-87.50,FEE_TRANSACTION,16816.04,,
CHECK,11/05/2025,"CHECK 1103  ",-20500.00,CHECK_PAID,16903.54,1103,
DEBIT,11/05/2025,"ONLINE DOMESTIC WIRE TRANSFER VIA: GBC INTL BANK LA/122235902 A/C: JTE GLOBAL AZUSA CA 91702 US REF: RETURN 20K IMAD: 1105MMQFMP2K022400 TRN: 3412225309ES 11/05",-20000.00,WIRE_OUTGOING,37403.54,,
DEBIT,11/05/2025,"Zelle payment to aids 26847761162",-150.00,QUICKPAY_DEBIT,57403.54,,
CREDIT,11/05/2025,"Zelle payment from MENGFEI LIU 26857924849",80.00,QUICKPAY_CREDIT,57553.54,,
CREDIT,11/05/2025,"ORIG CO NAME: MANHEIM US            ORIG ID:1582577037 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000010926186 EED:251105   IND ID:17796353                     IND NAME:ICAR LIFESTYLE                                                                                               6000632 TRN: 3090926186TC",34535.00,ACH_CREDIT,57473.54,,
CHECK,11/04/2025,"CHECK 1101  ",-17800.00,CHECK_PAID,22938.54,1101,
DEBIT,11/04/2025,"Zelle payment to XINGTING JPM99bti66o2",-107.00,CHASE_TO_PARTNERFI,40738.54,,
DEBIT,11/04/2025,"Zelle payment to andra feng JPM99bti5tx5",-30.00,CHASE_TO_PARTNERFI,40845.54,,
CHECK,11/04/2025,"CHECK 1095  ",-1356.84,CHECK_PAID,40875.54,1095,
CHECK,11/04/2025,"CHECK 1100  ",-2713.68,CHECK_PAID,42232.38,1100,
DEBIT,11/04/2025,"Zelle payment to suphasith JPM99bth0nms",-1050.00,CHASE_TO_PARTNERFI,44946.06,,
DEBIT,11/04/2025,"ONLINE DOMESTIC WIRE TRANSFER A/C: WENJUN YAN PRINCETON NJ 08540-3612 US REF: AUDI Q5 30500-1000 29500 TRN: 3337205308ES 11/04",-29500.00,WIRE_OUTGOING,45996.06,,
CREDIT,11/04/2025,"Zelle payment from ZIHAO WEI BACovfd89jt9",500.00,PARTNERFI_TO_CHASE,75496.06,,
CREDIT,11/04/2025,"ORIG CO NAME:WESTLAKE FINANCI       ORIG ID:2272814169 DESC DATE:110325 CO ENTRY DESCR:PAYABLES  SEC:PPD    TRACE#:091000017506356 EED:251104   IND ID:                             IND NAME:ATTITUDE D LLC TRN: 3087506356TC",43984.89,ACH_CREDIT,74996.06,,
DEBIT,11/03/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:103125 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232101009896 EED:251103   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,Aud it Fee 2025/10/08 00:00:00.000                DYNAMIC EFT TRN: 3071009896TC",-125.00,ACH_DEBIT,31011.17,,
DEBIT,11/03/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:103125 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232101009866 EED:251103   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :5UX23EU06S9W25247 ,2025-B M W-X SE ERIES     DYNAMIC EFT TRN: 3071009866TC",-4182.45,ACH_DEBIT,31136.17,,
DEBIT,11/03/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:103125 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232101009864 EED:251103   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :3MW89FF0XR8E38897 ,2024-B M W-3 SE ERIES     DYNAMIC EFT TRN: 3071009864TC",-25296.80,ACH_DEBIT,35318.62,,
DEBIT,11/03/2025,"Zelle payment to wenjun yan JPM99bt3z3hn",-1000.00,CHASE_TO_PARTNERFI,60615.42,,
DEBIT,11/03/2025,"Zelle payment to MHER 26803340394",-500.00,QUICKPAY_DEBIT,61615.42,,
DEBIT,11/03/2025,"Zelle payment to Icar 26415608606",-2500.00,QUICKPAY_DEBIT,62115.42,,
CREDIT,11/03/2025,"Zelle payment from ZIJIE JIANG 26831061672",50.00,QUICKPAY_CREDIT,64615.42,,
CREDIT,11/03/2025,"Zelle payment from QIAN WANG BACkqiqogpsa",1000.00,PARTNERFI_TO_CHASE,64565.42,,
DSLIP,11/03/2025,"REMOTE ONLINE DEPOSIT #          1",29000.00,CHECK_DEPOSIT,63565.42,1,
CREDIT,11/03/2025,"FEDWIRE CREDIT VIA: GBC INTERNATIONAL BANK/122235902 B/O: JTE GLOBAL TRADING & INVESTMENT AZUSA CA 91702-1580 REF: CHASE NYC/CTR/BNF=ATTITUDE D LLC ARCADIA CA 91007-2839 US/AC-000000009 120 RFB=NOTPROVIDED OBI=/PURP/LOAN TO ICAR/URI/LOAN TO IC AR BBI=/ACC/+1(626)999-9669 IMAD: 1103MMQFMPST000020 TRN: 1407151307FF",20000.00,WIRE_INCOMING,34565.42,,
DEBIT,10/31/2025,"Zelle payment to angel JPM99bswr3uo",-200.00,CHASE_TO_PARTNERFI,14565.42,,
DEBIT,10/31/2025,"Zelle payment to liu 26785823453",-992.22,QUICKPAY_DEBIT,14765.42,,
CREDIT,10/31/2025,"Zelle payment from HIROMITSU SUETAKE BACifxhivzs5",300.00,PARTNERFI_TO_CHASE,15757.64,,
CREDIT,10/31/2025,"Zelle payment from M2009 LLC USBcGj1oia3O",500.00,PARTNERFI_TO_CHASE,15457.64,,
CREDIT,10/31/2025,"ORIG CO NAME:NEXTGEAR FUNDING       ORIG ID:1201990165 DESC DATE:103025 CO ENTRY DESCR:FUNDING   SEC:CCD    TRACE#:091000012467613 EED:251031   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3042467613TC",1753.80,ACH_CREDIT,14957.64,,
DEBIT,10/30/2025,"Zelle payment to car transport 26771077309",-140.00,QUICKPAY_DEBIT,13203.84,,
DEBIT,10/30/2025,"Zelle payment to ch JPM99bss66r7",-1624.00,CHASE_TO_PARTNERFI,13343.84,,
DEBIT,10/30/2025,"Zelle payment to wsc 26769028936",-3420.00,QUICKPAY_DEBIT,14967.84,,
DEBIT,10/30/2025,"Zelle payment to Ovis JPM99bsphia4",-400.00,CHASE_TO_PARTNERFI,18387.84,,
CREDIT,10/30/2025,"Zelle payment from Mher Galustanian 26770976062",500.00,QUICKPAY_CREDIT,18787.84,,
DEBIT,10/29/2025,"ONLINE DOMESTIC WIRE TRANSFER A/C: RUI ZHANG SANTA FE SPRINGS CA 90670-4290 US TRN: 3637965302ES 10/29",-15800.00,WIRE_OUTGOING,18287.84,,
DEBIT,10/29/2025,"Zelle payment to Caglar JPM99bsoa9bq",-850.00,CHASE_TO_PARTNERFI,34087.84,,
DEBIT,10/29/2025,"ORIG CO NAME:NOWCOM, LLC            ORIG ID:1911718107 DESC DATE:       CO ENTRY DESCR:DEALERCNTRSEC:CCD    TRACE#:104000011955579 EED:251029   IND ID:M121311514522                IND NAME:ATTITUDE D LLC TRN: 3021955579TC",-876.62,ACH_DEBIT,34937.84,,
DSLIP,10/29/2025,"REMOTE ONLINE DEPOSIT #          1",905.00,CHECK_DEPOSIT,35814.46,1,
CHECK,10/28/2025,"CHECK 1098  ",-21426.00,CHECK_PAID,34909.46,1098,
CHECK,10/28/2025,"CHECK 1099  10/28",-8083.52,CHECK_PAID,56335.46,1099,
DEBIT,10/28/2025,"Zelle payment to clean JPM99bsk1jra",-150.00,CHASE_TO_PARTNERFI,64418.98,,
DEBIT,10/28/2025,"ORIG CO NAME:IPFS866-412-6739       ORIG ID:0AD2424370 DESC DATE:       CO ENTRY DESCR:IPFSPMTWASSEC:CCD    TRACE#:101000014694450 EED:251028   IND ID:561402                       IND NAME:ATTITUDE D LLC                                                                                               GDxLk2vV TRN: 3014694450TC",-837.88,ACH_DEBIT,64568.98,,
DEBIT,10/28/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:102725 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000014921409 EED:251028   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3014921409TC",-38169.59,ACH_DEBIT,65406.86,,
DEBIT,10/28/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:102725 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000014921410 EED:251028   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3014921410TC",-40146.63,ACH_DEBIT,103576.45,,
DSLIP,10/28/2025,"DEPOSIT  ID NUMBER 763414",10400.00,DEPOSIT,143723.08,,
CHECK,10/27/2025,"CHECK 1093  ",-44743.62,CHECK_PAID,133323.08,1093,
DEBIT,10/27/2025,"Zelle payment to uvm group llc 26739223042",-1100.00,QUICKPAY_DEBIT,178066.70,,
DEBIT,10/27/2025,"Zelle payment to secure vehicle 26735695631",-1000.00,QUICKPAY_DEBIT,179166.70,,
DEBIT,10/27/2025,"Zelle payment to angel JPM99bs8la1f",-180.00,CHASE_TO_PARTNERFI,180166.70,,
DEBIT,10/27/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:102425 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000013067561 EED:251027   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3003067561TC",-20981.09,ACH_DEBIT,180346.70,,
DEBIT,10/27/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:102425 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000013067562 EED:251027   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 3003067562TC",-28626.09,ACH_DEBIT,201327.79,,
DEBIT,10/27/2025,"Zelle payment to ULTIMATE PRINTING INC 26712552604",-63.90,QUICKPAY_DEBIT,229953.88,,
DEBIT,10/27/2025,"Zelle payment to ting to 26712083723",-1356.84,QUICKPAY_DEBIT,230017.78,,
CREDIT,10/27/2025,"ORIG CO NAME:WESTLAKE FINANCI       ORIG ID:2272814169 DESC DATE:102425 CO ENTRY DESCR:PAYABLES  SEC:PPD    TRACE#:091000013182397 EED:251027   IND ID:                             IND NAME:ATTITUDE D LLC TRN: 3003182397TC",333.96,ACH_CREDIT,231374.62,,
CREDIT,10/27/2025,"Zelle payment from DW LA TRANSPORTATION INC BACeom03ye6k",1300.00,PARTNERFI_TO_CHASE,231040.66,,
CREDIT,10/27/2025,"Zelle payment from Karan Rezaei USBDbfRogtsk",3000.00,PARTNERFI_TO_CHASE,229740.66,,
CREDIT,10/27/2025,"Zelle payment from DEREGE WORKU BACngk2v2f57",4000.00,PARTNERFI_TO_CHASE,226740.66,,
CREDIT,10/27/2025,"ORIG CO NAME: MANHEIM US            ORIG ID:1582577037 DESC DATE:       CO ENTRY DESCR:ACH PAYMNTSEC:CCD    TRACE#:091000012908093 EED:251027   IND ID:17747515                     IND NAME:ICAR LIFESTYLE                                                                                               5993055 TRN: 3002908093TC",27300.00,ACH_CREDIT,222740.66,,
CREDIT,10/27/2025,"ORIG CO NAME:WESTLAKE FINANCI       ORIG ID:2272814169 DESC DATE:102425 CO ENTRY DESCR:PAYABLES  SEC:PPD    TRACE#:091000013182399 EED:251027   IND ID:                             IND NAME:ATTITUDE D LLC TRN: 3003182399TC",32546.54,ACH_CREDIT,195440.66,,
DSLIP,10/27/2025,"DEPOSIT  ID NUMBER   6676",9000.00,DEPOSIT,162894.12,,
CREDIT,10/27/2025,"FEDWIRE CREDIT VIA: REGIONS BANK/062005690 B/O: LENDBUZZ FUNDING LLC BOSTON MA 02110 REF: CHASE NYC/CTR/BNF=ATTITUDE D LLC ARCADIA CA 91007-2839 US/AC-000000009 120 RFB=NOTPROVIDED OBI=/URI/WP0AA2 A75JL108879 : 2168402 BBI=/ACC/4553 42X2168402 IMAD: 1027F2QCZ00C001528 TRN: 0588411300FF",45171.00,WIRE_INCOMING,153894.12,,
CHECK,10/24/2025,"CHECK 1092  ",-5.00,CHECK_PAID,108723.12,1092,
DEBIT,10/24/2025,"Zelle payment to andra feng JPM99bs3z3ah",-30.00,CHASE_TO_PARTNERFI,108728.12,,
DEBIT,10/24/2025,"Zelle payment to xiyong JPM99bs3j824",-200.00,CHASE_TO_PARTNERFI,108758.12,,
DEBIT,10/24/2025,"Zelle payment to andrew JPM99bs2wid6",-750.00,CHASE_TO_PARTNERFI,108958.12,,
DEBIT,10/24/2025,"Zelle payment to davit JPM99bs0t7o1",-800.00,CHASE_TO_PARTNERFI,109708.12,,
CREDIT,10/24/2025,"ORIG CO NAME:TSYS/TRANSFIRST        ORIG ID:WFBTRANSF1 DESC DATE:251023 CO ENTRY DESCR:CR CD DEP SEC:CCD    TRACE#:043305133466183 EED:251024   IND ID:543684556033333              IND NAME:ICAR LIFESTYLE             5436845560333337ICAR LIFESTYLE            CR CD DEP 102425 TRN: 2973466183TC",2575.00,ACH_CREDIT,110508.12,,
DEBIT,10/23/2025,"Zelle payment to wsc 26693336281",-880.00,QUICKPAY_DEBIT,107933.12,,
DEBIT,10/23/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:102225 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000016454000 EED:251023   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 2966454000TC",-32645.95,ACH_DEBIT,108813.12,,
DEBIT,10/23/2025,"CENTRALDISPATCH.COM 858-259-6084 NY          10/22",-199.95,DEBIT_CARD,141459.07,,
CREDIT,10/23/2025,"Zelle payment from M2009 LLC USBeZhNofDkf",2000.00,PARTNERFI_TO_CHASE,141659.02,,
CREDIT,10/23/2025,"ORIG CO NAME:NEXTGEAR FUNDING       ORIG ID:1201990165 DESC DATE:102225 CO ENTRY DESCR:FUNDING   SEC:CCD    TRACE#:091000016449262 EED:251023   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 2966449262TC",85862.19,ACH_CREDIT,139659.02,,
DEBIT,10/22/2025,"Zelle payment to solo liner JPM99brv3tz6",-1300.00,CHASE_TO_PARTNERFI,53796.83,,
DEBIT,10/22/2025,"DOMESTIC WIRE TRANSFER VIA: WELLS FARGO NA/121000248 A/C: DRIVELINE USED CARS REF: ASTON MARTIN DBXV07585/TIME/16:35 IMAD: 1022MMQFMP2L040985 TRN: 3336585295ES 10/22",-126500.00,WIRE_OUTGOING,55096.83,,
CHECK,10/22/2025,"CHECK 1097  ",-1109.00,CHECK_PAID,181596.83,1097,
DEBIT,10/22/2025,"ORIG CO NAME:WASTE MANAGEMENT       ORIG ID:9580653001 DESC DATE:251021 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:021000021332824 EED:251022   IND ID:000221937893009              IND NAME:Cundi Fang                 Log in to the MY WM Account Page fo r payment details. TRN: 2951332824TC",-275.57,ACH_DEBIT,182705.83,,
DEBIT,10/22/2025,"Zelle payment to raad auto JPM99brsq1in",-150.00,CHASE_TO_PARTNERFI,182981.40,,
DEBIT,10/22/2025,"Zelle payment to harv JPM99brsounm",-300.00,CHASE_TO_PARTNERFI,183131.40,,
CREDIT,10/22/2025,"Zelle payment from M2009 LLC USBYxlFofC6O",500.00,PARTNERFI_TO_CHASE,183431.40,,
CREDIT,10/22/2025,"ORIG CO NAME:IRS  TREAS 310         ORIG ID:9101036151 DESC DATE:102225 CO ENTRY DESCR:  MISC PAYSEC:CTX    TRACE#:101036151161426 EED:251022   IND ID:921276656200900              IND NAME:0006ATTITUDE D LLC TRN: 2951161426TC",4000.00,ACH_CREDIT,182931.40,,
DSLIP,10/22/2025,"REMOTE ONLINE DEPOSIT #          1",17100.00,CHECK_DEPOSIT,178931.40,1,
DEBIT,10/21/2025,"Zelle payment to wsc 26666900830",-100.00,QUICKPAY_DEBIT,161831.40,,
DEBIT,10/21/2025,"ORIG CO NAME:Westlake Floorin       ORIG ID:1352426469 DESC DATE:102025 CO ENTRY DESCR:PAYABLES  SEC:CCD    TRACE#:122232106446618 EED:251021   IND ID:100499447                    IND NAME:ICAR Lifestyle             100499447 ,ICAR Lifestyle      ,VIN :5TDYZ3DC1LS038689 ,2020-TOYOTA-SIE ENNA FWD  DYNAMIC EFT TRN: 2946446618TC",-3028.00,ACH_DEBIT,161931.40,,
DEBIT,10/21/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:102025 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000012627107 EED:251021   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 2942627107TC",-1318.96,ACH_DEBIT,164959.40,,
DEBIT,10/21/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:102025 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000012627106 EED:251021   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 2942627106TC",-7189.04,ACH_DEBIT,166278.36,,
DEBIT,10/21/2025,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:102025 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000012682767 EED:251021   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 2942682767TC",-28871.54,ACH_DEBIT,173467.40,,
DEBIT,10/21/2025,"Zelle payment to egtransport JPM99brofm1e",-1400.00,CHASE_TO_PARTNERFI,202338.94,,
DSLIP,10/21/2025,"DEPOSIT  ID NUMBER 864942",38454.43,DEPOSIT,203738.94,,
DEBIT,10/20/2025,"Zelle payment to wsc 26660370885",-300.00,QUICKPAY_DEBIT,165284.51,,
DEBIT,10/20/2025,"ONLINE DOMESTIC WIRE TRANSFER VIA: WELLS FARGO NA/121000248 A/C: DRIVELINE USEDCAR MURRIETA CA 92562 US REF:/TIME/21:55 IMAD: 1020MMQFMP2L072501 TRN: 3817765293ES 10/20",-5000.00,WIRE_OUTGOING,165584.51,,
DEBIT,10/20/2025,"Zelle payment to wsc 26656105748",-360.00,QUICKPAY_DEBIT,170584.51,,
DEBIT,10/20/2025,"Zelle payment to spark JPM99brc551n",-950.00,CHASE_TO_PARTNERFI,170944.51,,
CREDIT,10/20/2025,"Zelle payment from CARTUR LLC USBpZzhof33o",1.00,PARTNERFI_TO_CHASE,171894.51,,
CREDIT,10/20/2025,"Zelle payment from CHINGWEN HUANG BAClma0b8y1h",550.00,PARTNERFI_TO_CHASE,171893.51,,
CREDIT,10/20/2025,"Zelle payment from CARTUR LLC USBCY0uof33w",849.00,PARTNERFI_TO_CHASE,171343.51,,
CREDIT,10/20/2025,"Zelle payment from CHIA CHEN LIN 26649377369",1000.00,QUICKPAY_CREDIT,170494.51,,
CREDIT,10/20/2025,"Zelle payment from KECHENG CHEN BACfzkco1eqn",1950.00,PARTNERFI_TO_CHASE,169494.51,,
CREDIT,10/20/2025,"Zelle payment from KECHENG CHEN BACcbp5wd8mt",2000.00,PARTNERFI_TO_CHASE,167544.51,,
CREDIT,10/20/2025,"ORIG CO NAME:NEXTGEAR FUNDING       ORIG ID:1201990165 DESC DATE:101725 CO ENTRY DESCR:FUNDING   SEC:CCD    TRACE#:091000019933324 EED:251020   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 2939933324TC",38500.00,ACH_CREDIT,165544.51,,
CREDIT,10/20/2025,"BOOK TRANSFER CREDIT B/O: CHIA CHEN LIN LAKE FOREST CA 92630-2506 US TRN: 3313365293ES",25000.00,WIRE_INCOMING,127044.51,,
DEBIT,10/17/2025,"Zelle payment to Ovis JPM99brbqjjp",-350.00,CHASE_TO_PARTNERFI,102044.51,,
DEBIT,10/17/2025,"Zelle payment to ch JPM99br9outw",-50.00,CHASE_TO_PARTNERFI,102394.51,,
CHECK,10/17/2025,"CHECK 1096  10/17",-38500.00,CHECK_PAID,102444.51,1096,
